slug,address,suburb,price_guide,sale_method,price_lens,fair_value_estimate,likely_transaction_range,price_risk_score,affordability_read,bedrooms,bathrooms,car_spaces,land_m2,estimated_internal_area_m2,study_score,room_spaciousness_score,ensuite_score,kitchen_storage_score,shared_bathroom_score,low_maintenance_score,light_orientation_score,overall_fit_score,in_person_visited,in_person_overall_score,in_person_price_ceiling,status,next_action,assessment_layer,legal_risk_score,contract_watchpoints,pre_visit_confidence,public_listing_url
2a-macadam-street-daylesford,"2A Macadam Street, Daylesford VIC 3460",Daylesford,825000,Private sale,"Charming renovated cottage, but poor functional and location fit for current main-home criteria",770000-825000,800000-850000,5,Price is within broad cap but not good value for your actual use case because it fails the 2-bath/commute/family-space tests,3,1,4,447,95-115 internal estimate; listing describes 2 bed plus office/studio,8,5,2,6,3,7,7,48,,,750000,ARCHIVED - visually liked but overall no,"Do not pursue. Layout had some appeal, but score/fit did not justify keeping it active.",AI pre-visit with saved photos/floorplan and price lens,6,No contract reviewed yet. Main risk is not legal; it is criteria mismatch and distance from work/family anchors.,high-for-visuals-medium-overall,https://www.belleproperty.com/listings/2a-macadam-street-daylesford-vic-3460-YLMJEm0b
18-westwood-drive-mill-park,"18 Westwood Drive, Mill Park VIC 3082",Mill Park,700000-770000,Auction campaign,Compact low-maintenance townhouse-like option; price may be attractive but hard-filter/type risk is material,740000-800000,760000-840000,7,"Potentially comfortable on price, but only if title/body-corporate/shared-wall concerns do not breach the freestanding-house filter",4,2,2,241,150-170 internal estimate from floorplan over two levels,7,8,8,7,8,9,6,70,,,790000,ARCHIVED - no after 13 May planning,Do not pursue under current brief.,AI pre-visit with saved photos/floorplan and price lens,3,Listing itself calls it a townhouse. Section 32/title and owners corporation position are essential before any further work.,high-for-visuals-medium-overall,https://www.barryplant.com.au/for-sale/18-westwood-drive-mill-park-vic-3082-203143/
20-northampton-crescent-caroline-springs,"20 Northampton Crescent, Caroline Springs VIC 3023",Caroline Springs,unknown,Unknown / needs live listing URL,Insufficient live listing data found; do not score confidently until URL or alert email arrives,780000-880000 low-confidence,unknown,3,"Cannot assess affordability properly without current guide, sale method, photos/floorplan and land/build area. Caroline Springs may fit budget, but evidence is missing.",3,2,2,550,unknown,3,5,5,5,7,5,5,50,,,,ARCHIVED - low score / price not compelling,"Do not pursue. Planning discussion marked it no due to low score, price and location fit.",Low-confidence placeholder only,2,"No reliable listing, floorplan or photos captured yet; do not rely on this row for purchase decisions.",low,
11-northbridge-road-highton,"11 Northbridge Road, Highton VIC 3216",Highton,769000-799000,Private sale,Split-level black-cladding house ('kale wale ghar'); strong light/character; storage weakness; inspected 9 May as replacement for No. 10,775000-800000,770000-795000,7,Inside comfort band; existing offer at $760k; target offer $770-775k; walk away above $785k,3,2,2,356,115m2 ground floor plus 35m2 garage per floorplan,4,5,6,7,8,9,10,72,2026-05-09,72,780000,ARCHIVED - no longer active,Keep as Highton comp/history only. Not part of the Sunday shortlist.,AI + in-person (9 May 2026),7,"No contract reviewed yet. Need Section 32 for title, easements, covenants, deck permits. Check covenant AJ739795K scope. Existing offer at $760k — agent Tom disclosed proactively.",high,https://www.domain.com.au/11-northbridge-road-highton-vic-3216-2020258888
77-prince-of-wales-avenue-mill-park,"77 Prince Of Wales Avenue, Mill Park VIC 3082",Mill Park,760000-810000,Post-auction asking-price campaign,"Still a good functional 3-bed plus office/WIP plan, but refreshed agency evidence shows asking $810k so the value case is less obvious than the original auction guide",770000-820000,800000-830000,6,Comfortable only if negotiated around $800k-$805k; do not chase into the mid-$800s because older shell/carport/yard burden remains,3,2,2,560,140-155 internal estimate from floorplan; 210m2 reported building area likely includes carport/covered areas,8,7,6,8,8,6,7,78,,,810000,ARCHIVED - no after 13 May planning,"Keep only as historical Mill Park comparison. Contract savings/asset detail was reviewed, but property is no longer in the active inspection set.",AI pre-visit refreshed 12 May 2026 with saved photos/floorplan and contract/Section 32 review,5,"Contract reviewed 12 May 2026. Title: Lot 354 PS/LP216151Q Vol 09882 Folio 810; registered CBA mortgage to discharge; covenant P718451A restricts future building/rebuild/fence/external-material choices; plan/title refer to drainage/sewerage easement notation; no owners corporation; no building permits disclosed in preceding 7 years; utilities connected except telephone; GRZ5/DCPO3; not bushfire prone; 2026 land tax certificate shows $1,950 but contract says land tax is not adjustable; special conditions shift condition/compliance risk to purchaser and impose 12% default interest, $880 default costs and $220 rebooking fee. Conveyancer must approve covenant/easement, land tax, permit history, and finance/B&P clauses before offer.",medium-high-after-contract-review,https://www.realestate.com.au/property-house-vic-mill+park-150901048
1-14-mary-street-hamlyn-heights,"1/14 Mary Street, Hamlyn Heights VIC 3215",Hamlyn Heights,765000-795000,Private sale / agent campaign,Hard-filter reject despite good townhouse layout; compare only if own-title townhouses become acceptable,735000-775000,745000-795000,4,"Inside FHBG cap, but price is not attractive enough to justify breaching the freestanding-house rule",3,2,1,253,120-135 internal estimate excluding 23m2 garage,5,8,8,7,8,8,8,42,,,0,ARCHIVED - rejected hard filter,Do not pursue unless brief changes to accept townhouse/unit compromises.,AI pre-visit hard-filter assessment with saved photos/floorplan,3,"Buxton says own title, but X/Y townhouse format requires Section 32 confirmation of owners corporation, shared walls/services/insurance, easements and maintenance obligations.",high-for-visuals-high-for-hard-filter,https://www.realestate.com.au/property-townhouse-vic-hamlyn%2Bheights-150667672
1-woodhill-place-mill-park,"1 Woodhill Place, Mill Park VIC 3082",Mill Park,849500,Post-auction asking-price campaign,"Polished low-maintenance 3-bed house, but no study and post-auction asking price reduce the value case",795000-835000,825000-860000,5,"Inside FHBG cap, but only compelling if negotiated back to low-$800s; $849.5k is high for no-study 3-bed utility",3,2,2,355,125-140 internal estimate plus 38.4m2 double garage,4,8,7,8,8,8,7,73,,,835000,ARCHIVED - ruled out at current asking in 13 May planning,Do not pursue unless price resets materially. Current discussion ruled it out as unattractive at the asking level despite vendor urgency.,AI pre-visit with saved photos/floorplan and post-auction price lens,6,"No contract reviewed yet. Need Section 32 for title, easements, garage/extension permits, renovation documentation and older services. Current ask observed at $849,500 after earlier lower ESR evidence.",high-for-visuals-medium-overall,https://www.barryplant.com.au/for-sale/1-woodhill-place-mill-park-vic-3082-202449/
36-littlewood-drive-fyansford,"36 Littlewood Drive, Fyansford VIC 3218",Fyansford,770000-810000,Private/agent campaign,"Newer 3-bed Fyansford house with unusually good secondary-bedroom sizes and strong living/kitchen/deck flow, but no fourth bedroom or dedicated study",770000-805000,780000-825000,6,Inside FHBG and likely comfortable in high-$700s/low-$800s; do not chase above low-$810s because it is only 3 bedrooms,3,2,2,389,135-150 internal estimate from measured floorplan; 33m2 garage,4,8,7,8,8,8,8,75,,,810000,ACTIVE PRIOR SHORTLIST - solid Fyansford 3-bed,"Keep in comparison as an active prior shortlist property. Confirm whether 3-bed layout works with one bedroom as office; check light, deck usability, garage storage, pocket feel, drainage, cracking, slab movement and retaining-wall/stormwater paths if reconsidered.",AI pre-visit refreshed 12 May 2026 with downloaded photos/floorplan and room-dimension scoring,6,"No contract review recorded in the public matrix. For Fyansford context, require Section 32/title review plus B&P focus on drainage, reactive soil/slab movement, retaining walls and stormwater.",high-for-floorplan-medium-for-market,https://www.domain.com.au/36-littlewood-drive-fyansford-vic-3218-2020684659
14-hardiman-circuit-fyansford,"14 Hardiman Circuit, Fyansford VIC 3218",Fyansford,779000-819000,Private/agent campaign,Newer compact 4-bed with WIP/WIL and study nook; excellent utility but secondary bedrooms are narrow at 2.7 x 3.6m,790000-825000,800000-845000,6,Comfortable if bought around low-$800s; mid-$830s-plus needs excellent room feel and clean B&P,4,2,2,315,145-160 internal estimate from measured floorplan; 33m2 garage,8,6,7,9,8,9,8,79,,,825000,ACTIVE PRIOR SHORTLIST - Fyansford 4-bed utility,"Keep in comparison as an active prior shortlist property. Measure/feel bedrooms 2-4, judge whether utility overcomes design/presentation concerns, and ask about tenancy, settlement, estate controls, drainage, sewer/build-over consents and post-build repairs if reconsidered.",AI pre-visit refreshed 12 May 2026 with downloaded photos/floorplan and room-dimension scoring,6,"Contract reviewed. Watch periodic tenancy/vacant-possession timing, covenant/Section 173 obligations, Barwon Water sewer/build-over consents, environmental/groundwater records and Fyansford drainage/slab/retaining-wall risk. 2018 dwelling/garage permit and final certificate are positives.",high-for-floorplan-medium-for-market,https://www.domain.com.au/14-hardiman-circuit-fyansford-vic-3218-2020684237
2-ashford-court-belmont,"2 Ashford Court, Belmont VIC 3216",Belmont,780000-840000,Private/agent campaign,"Older but highly useful 5-room Belmont floorplan; covered alfresco and upstairs office/master are the fit positives",800000-840000,805000-855000,7,"Inside FHBG and attractive if it stays below mid-$800s; do not overpay for older-shell/B&P risk",5,2,4,728,159 house area shown on floorplan; 24.5 carport plus 23.8 garage,8,8,6,7,7,5,7,78,,,845000,WATCH - inspect if price stays disciplined,"Confirm older-shell condition, permits for upper level/alfresco/verandah/garage/sheds, roof/drainage/services, and whether the large block feels manageable.",AI pre-visit 14 May 2026 with downloaded photos/floorplan,6,"No contract reviewed. Need Section 32 for title/easements/covenants and B&P focus on roof, drainage, services, wet areas and any asbestos-era materials.",high-for-floorplan-medium-for-market,https://www.domain.com.au/2-ashford-court-belmont-vic-3216-2020523073
8-northam-avenue-highton,"8 Northam Avenue, Highton VIC 3216",Highton,800000-880000,Auction campaign,"Roomy single-level Highton home with recent $840k sale anchor; auction price discipline is the gating issue",820000-875000,840000-900000,5,"Viable if auction stays below high-$800s; do not pay a large premium over the 2024 $840k sale without clear improvements",3,2,3,650,125-140 internal estimate from floorplan; 31.9 garage/workshop plus 24.4 carport,4,8,6,7,8,5,7,71,,,875000,WATCH - auction price discipline,"Ask why reselling after the 2024 purchase/rental cycle; inspect older shell, drainage, roof, services, carport and covered entertaining.",AI pre-visit 14 May 2026 with downloaded photos/floorplan and refreshed property-profile evidence,6,"No contract reviewed. Need Section 32 plus B&P on older shell, drainage, roof, services, carport and covered entertaining; verify any works since the 2024 purchase.",medium-high,https://www.domain.com.au/8-northam-avenue-highton-vic-3216-2020708182
134-roslyn-road-belmont,"134 Roslyn Road, Belmont VIC 3216",Belmont,880000-920000,Private/agent campaign,"Spacious established Belmont 3-bed with office and large living zones; 850m2 block/road exposure/older-shell risk limit price enthusiasm",865000-905000,880000-925000,4,"Inside FHBG but only compelling below low-$900s with clean condition; price is already close to cap",3,2,0,850,150-170 internal estimate from floorplan rooms,6,8,6,7,8,4,7,74,,,900000,WATCH - price-sensitive,"Inspect only if agent feedback is realistic; check road noise, heritage/renovation constraints, roof/drainage/services, wet areas, garden burden and permits.",AI pre-visit 14 May 2026 with downloaded photos/floorplan,5,"No contract reviewed. Need title/easement/permit/heritage-overlay review and B&P focus on older-shell risks plus traffic/acoustic exposure on Roslyn Road.",medium-high,https://www.domain.com.au/134-roslyn-road-belmont-vic-3216-2020610124
3-cambra-road-belmont,"3 Cambra Road, Belmont VIC 3216",Belmont,879000-949000,Private/agent campaign,"Best character/space/WFH profile in the batch, but price is close enough to the cap that B&P and offer discipline matter",880000-920000,900000-950000,4,"Workable in the lower half of guide; do not chase to the cap unless inspection clearly beats all alternatives",3,2,3,604,145-165 internal estimate plus 23.9 garage and 9.6 home office,9,8,7,8,8,4,8,80,,,920000,WATCH - priority inspect if price feedback is sane,"Confirm detached home-office comfort/permits, garden maintenance, deck condition, B&P, title and whether price stays below the cap with buffer.",AI pre-visit 14 May 2026 with downloaded photos/floorplan,6,"No contract reviewed. Need Section 32 for title/easements/permits; B&P focus on older shell, deck, drainage, tree roots, wet areas and detached office/garage compliance.",high-for-floorplan-medium-for-market,https://www.domain.com.au/3-cambra-road-belmont-vic-3216-2020823932
37-peter-street-grovedale,"37 Peter Street, Grovedale VIC 3216",Grovedale,620000-670000,Private/agent campaign,"Budget outlier; only interesting if truly freestanding own-title and not a unit/townhouse compromise",620000-670000,635000-700000,8,"Very affordable if clean, but low price is not enough without floorplan/title proof",3,2,1,300,unknown - no floorplan captured,3,5,5,5,7,8,5,55,,,670000,LOW-PRICE WATCH ONLY,"Request floorplan and Section 32/title first; reject if owners corporation, shared driveway/services or unit-title risk appears.",Low-confidence pre-visit 14 May 2026 from listing-card evidence only,4,"No floorplan/media/contract captured. Need title/freestanding status, room dimensions, easements, permits, and B&P before relying on this score.",low,https://www.realestate.com.au/property-house-vic-grovedale-151196064
1-32-the-avenue-belmont,"1/32 The Avenue, Belmont VIC 3216",Belmont,760000-820000,Private/agent campaign,"Excellent layout but X/Y townhouse format breaches freestanding own-title hard filter unless brief changes",760000-820000,780000-840000,4,"Inside FHBG but not enough discount to accept townhouse/title risk under current rules",3,2,2,429,130-145 internal estimate from floorplan plus 41.8 garage,6,10,8,8,8,8,7,44,,,0,HARD-FILTER REJECT - X/Y townhouse format,"Do not pursue unless the brief changes and conveyancer confirms no meaningful owners-corporation/shared-title risk.",AI pre-visit 14 May 2026 with downloaded photos/floorplan; hard-filter penalty applied,3,"Domain classifies it as a townhouse. Need Section 32/owners corporation certificate/shared services/insurance/common property review before any reconsideration.",high-for-layout-high-for-hard-filter,https://www.domain.com.au/1-32-the-avenue-belmont-vic-3216-2020716020
37-salisbury-circuit-fyansford,"37 Salisbury Circuit, Fyansford VIC 3218",Fyansford,800000-840000,Private/agent campaign / listing mirror,"Stronger than first pass: 4-bed Fyansford layout with separate lounge, WIP, usable bedroom sizes and garage drawn for two cars; guide is the restraint",800000-835000,815000-855000,5,Inside cap but less compelling if guide has moved to $800k-$840k; keep offer discipline in low-$800s,4,2,2,368,150-170 internal estimate from measured floorplan; 28.8m2 garage,8,8,7,9,8,8,8,82,,,835000,SATURDAY AGENDA - 1:00 Fyansford option,"Inspect at 1:00 if Peter fails the title/floorplan screen or Fyansford remains in contention. Verify pocket quality, natural light, bedroom usability and second living. Ask agent directly about Fyansford flood, drainage, soil/reactivity, retaining-wall and subsidence/slab-movement issues.",AI pre-visit refreshed 12 May 2026 with downloaded photos/floorplan and room-dimension scoring,6,"Contract reviewed. No definitive flood/subsidence answer from contract alone; verify any flood/overland-flow/planning overlays, soil classification, drainage design, retaining walls, site cuts/fill, slab movement and local estate ground conditions via conveyancer, B&P and agent/vendor questions.",high-for-floorplan-medium-for-market,https://realsearch.com.au/house-37-salisbury-circuit-fyansford-vic-3218
21-tetila-avenue-grovedale,"21 Tetila Avenue, Grovedale VIC 3216",Grovedale,679000-719000,Private/agent campaign,Affordability-led 3-bed/2-bath option; cheaper than Highton/Fyansford but weaker on study and suburb premium,675000-710000,690000-730000,7,"Comfortable against FHBG cap, but less of a bargain at the updated guide; only worthwhile if debt reduction is deliberate and condition is move-in ready",3,2,2,349,unknown; no public floorplan captured,4,5,6,6,7,8,6,62,,,700000,ARCHIVED - not pursued after 13 May planning,Do not pursue. Older Grovedale stock and not strong enough relative to same-time Fyansford options.,AI pre-visit refreshed 12 May 2026; photo captured but no public floorplan found,6,"No contract reviewed. Verify title/freestanding status, easements, services, building permits and condition. Grovedale value stock needs closer neighbourhood/street and renovation-burden check.",medium,https://www.realestate.com.au/property-house-vic-grovedale-151164616
18-landes-avenue-highton,"18 Landes Avenue, Highton VIC 3216",Highton,840000-880000,Private/agent campaign / listing mirror,Good Highton 3-bed with double garage and alfresco; weaker than Fyansford 4-bed options on WFH and kitchen storage,805000-845000,835000-880000,4,Inside FHBG but poor value discipline above mid-$800s unless Highton location/outlook is the deliberate premium,3,2,2,347,125-145 internal estimate from measured floorplan; 35.4m2 garage,4,7,7,7,8,9,8,73,,,840000,SATURDAY AGENDA - 10:00 Highton clash,"Prioritize during the 10:00 clash if choosing the cleaner Highton house. Inspect light/liveability, slope, driveway, retaining walls, veranda/deck fixings, roof drainage, cracking and water ingress; ask for original build, drainage and retaining-wall documents.",AI pre-visit refreshed 12 May 2026 with downloaded photos/floorplan and room-dimension scoring,6,"Contract/veranda docs reviewed. Key gap is proof of final approved veranda permit/final certificate and legal stormwater connection; quote excluded stormwater/in-ground services. Confirm original build approvals, drainage, retaining-wall details and any cracking/water-ingress/insurance history.",high-for-floorplan-medium-for-market,https://realsearch.com.au/house-18-landes-avenue-highton-vic-3216
158-grantham-drive-highton,"158 Grantham Drive, Highton VIC 3216",Highton,785000-825000,Private/agent campaign with source disagreement,"Functionally strong two-level Highton floorplan, but townhouse classification remains hard-filter risk",770000-820000,790000-850000,6,"Potentially affordable for Highton if low-$800s, but only after title proves no OC/shared-obligation problem",4,2,2,340,165-190 internal estimate from low-resolution downloaded floorplan,8,8,7,8,8,8,8,60,,,820000,SATURDAY AGENDA - 10:00 Highton clash,"Fit around the Landes clash because it is nearby. Use it as the Highton space/value benchmark; re-check title/ownership structure, shared maintenance exposure, garage/driveway usability, slope, retaining walls and drainage.",AI pre-visit refreshed 12 May 2026 with partial downloaded photos/floorplan and title hard-filter caveat,3,"Contract reviewed separately. Keep title/ownership structure and any shared-property obligations front of mind; Highton slope means B&P should focus on retaining, drainage, deck/driveway condition and movement cracks.",medium-high-for-hard-filter,https://www.domain.com.au/158-grantham-drive-highton-vic-3216-2020618285
43-waurnvale-drive-belmont,"43 Waurnvale Drive, Belmont VIC 3216",Belmont,840000-890000,Private inspection only / current listing mirror,"Likely match for the user's 2:00pm Warrenville/Waurnvale note; elevated 3-bed Belmont house with parkland/amenity appeal, but address and current inspection slot need confirmation",805000-850000,830000-900000,4,"Inside FHBG, but current guide leaves limited headroom versus the 2022 $780k sale and comparable Belmont older-shell risks",3,2,2,641,139 floor area shown by property profiles; 231m2 building-size estimate appears to include broader coverage,3,6,6,7,7,6,7,62,,,850000,SATURDAY PLACEHOLDER - confirm exact address/listing,"Confirm exact address/listing URL and the 2:00pm inspection. Request floorplan, Section 32/contract and current agent guide before relying on this row; compare against 44 Waurnvale, 2 Ashford and 8 Northam for older-shell value.",Low-confidence placeholder 15 May 2026 from current listing/profile evidence only,4,"No contract reviewed and no local floorplan/photos republished. Need Section 32/title, easements, permits, drainage, slope/retaining, roof/services/wet-area B&P, and confirmation that this is the property intended by the user.",low,https://www.domain.com.au/43-waurnvale-drive-belmont-vic-3216-2020521681
2-54-barrabool-road-highton,"2/54 Barrabool Road, Highton VIC 3216",Highton,599000-699000,Private/agent campaign / listing mirror,Apartment/unit X-Y address; cheap Highton space but not a substitute for freestanding own-title land,600000-650000,600000-670000,7,Affordable but structurally outside the search brief; attached/unit discount is the reason it is cheap,3,3,1,0,152 listing-mirror area; no public floorplan captured,4,5,7,5,8,9,5,35,,,0,ARCHIVED - rejected hard filter,Do not pursue unless brief changes to accept unit/apartment compromises.,AI pre-visit hard-filter assessment refreshed 12 May 2026; limited media only,2,X/Y address and public apartment/unit classification. Likely owners corporation/common property/shared insurance risk. Main-road/unit resale and neighbour/acoustic risks.,high-for-hard-filter,https://realsearch.com.au/apartment-2-54-barrabool-road-highton-vic-3216
