slug,address,suburb,price_guide,sale_method,price_lens,fair_value_estimate,likely_transaction_range,price_risk_score,affordability_read,bedrooms,bathrooms,car_spaces,land_m2,estimated_internal_area_m2,study_score,room_spaciousness_score,ensuite_score,kitchen_storage_score,shared_bathroom_score,low_maintenance_score,light_orientation_score,overall_fit_score,in_person_visited,in_person_overall_score,in_person_price_ceiling,status,next_action,assessment_layer,legal_risk_score,contract_watchpoints,pre_visit_confidence,public_listing_url
2a-macadam-street-daylesford,"2A Macadam Street, Daylesford VIC 3460",Daylesford,825000,Private sale,"Charming renovated cottage, but poor functional and location fit for current main-home criteria",770000-825000,800000-850000,5,Price is within broad cap but not good value for your actual use case because it fails the 2-bath/commute/family-space tests,3,1,4,447,95-115 internal estimate; listing describes 2 bed plus office/studio,8,5,2,6,3,7,7,48,,,750000,Lifestyle mismatch; not recommended for current search,Reject for current main-home criteria unless the search brief changes toward Daylesford lifestyle/investment.,AI pre-visit with saved photos/floorplan and price lens,6,No contract reviewed yet. Main risk is not legal; it is criteria mismatch and distance from work/family anchors.,high-for-visuals-medium-overall,https://www.belleproperty.com/listings/2a-macadam-street-daylesford-vic-3460-YLMJEm0b
18-westwood-drive-mill-park,"18 Westwood Drive, Mill Park VIC 3082",Mill Park,700000-770000,Auction campaign,Compact low-maintenance townhouse-like option; price may be attractive but hard-filter/type risk is material,740000-800000,760000-840000,7,"Potentially comfortable on price, but only if title/body-corporate/shared-wall concerns do not breach the freestanding-house filter",4,2,2,241,150-170 internal estimate from floorplan over two levels,7,8,8,7,8,9,6,70,,,790000,Townhouse-like low-maintenance option; hard-filter risk,"Inspect only if you are open to townhouse-like/terrace living. Confirm title, owners corporation, shared walls and insurance obligations before treating it as viable.",AI pre-visit with saved photos/floorplan and price lens,3,Listing itself calls it a townhouse. Section 32/title and owners corporation position are essential before any further work.,high-for-visuals-medium-overall,https://www.barryplant.com.au/for-sale/18-westwood-drive-mill-park-vic-3082-203143/
20-northampton-crescent-caroline-springs,"20 Northampton Crescent, Caroline Springs VIC 3023",Caroline Springs,unknown,Unknown / needs live listing URL,Insufficient live listing data found; do not score confidently until URL or alert email arrives,780000-880000 low-confidence,unknown,3,"Cannot assess affordability properly without current guide, sale method, photos/floorplan and land/build area. Caroline Springs may fit budget, but evidence is missing.",3,2,2,550,unknown,3,5,5,5,7,5,5,50,,,,Low-confidence placeholder; needs source listing,Send the live listing URL or email alert. Current local assets are placeholders and should not be used for visual judgement.,Low-confidence placeholder only,2,"No reliable listing, floorplan or photos captured yet; do not rely on this row for purchase decisions.",low,
11-northbridge-road-highton,"11 Northbridge Road, Highton VIC 3216",Highton,769000-799000,Private sale,Split-level black-cladding house ('kale wale ghar'); strong light/character; storage weakness; inspected 9 May as replacement for No. 10,775000-800000,770000-795000,7,Inside comfort band; existing offer at $760k; target offer $770-775k; walk away above $785k,3,2,2,356,115m2 ground floor plus 35m2 garage per floorplan,4,5,6,7,8,9,10,72,2026-05-09,72,780000,Active — make offer once pre-approval in hand and heating/cooling confirmed,Confirm heating/cooling setup (ducted vs split-system). Get contract from agent Tom. Conveyancer S32 review. Check if AJ739795K covenant applies to No. 11 as well as No. 10. Offer $770k once pre-approval confirmed.,AI + in-person (9 May 2026),7,"No contract reviewed yet. Need Section 32 for title, easements, covenants, deck permits. Check covenant AJ739795K scope. Existing offer at $760k — agent Tom disclosed proactively.",high,https://www.domain.com.au/11-northbridge-road-highton-vic-3216-2020258888
77-prince-of-wales-avenue-mill-park,"77 Prince Of Wales Avenue, Mill Park VIC 3082",Mill Park,760000-810000,Post-auction asking-price campaign,"Still a good functional 3-bed plus office/WIP plan, but refreshed agency evidence shows asking $810k so the value case is less obvious than the original auction guide",770000-820000,800000-830000,6,Comfortable only if negotiated around $800k-$805k; do not chase into the mid-$800s because older shell/carport/yard burden remains,3,2,2,560,140-155 internal estimate from floorplan; 210m2 reported building area likely includes carport/covered areas,8,7,6,8,8,6,7,78,,,810000,WATCH — contract workable but covenant/permit clauses need conveyancer,"Send contract to conveyancer before any offer. Ask specifically about covenant P718451A, easement position, permit history for carport/shed/renovations, land tax handling, telecom/NBN, and clean finance/B&P clauses. Inspect only if negotiation below or around $805k remains plausible.",AI pre-visit refreshed 12 May 2026 with saved photos/floorplan and contract/Section 32 review,5,"Contract reviewed 12 May 2026. Title: Lot 354 PS/LP216151Q Vol 09882 Folio 810; registered CBA mortgage to discharge; covenant P718451A restricts future building/rebuild/fence/external-material choices; plan/title refer to drainage/sewerage easement notation; no owners corporation; no building permits disclosed in preceding 7 years; utilities connected except telephone; GRZ5/DCPO3; not bushfire prone; 2026 land tax certificate shows $1,950 but contract says land tax is not adjustable; special conditions shift condition/compliance risk to purchaser and impose 12% default interest, $880 default costs and $220 rebooking fee. Conveyancer must approve covenant/easement, land tax, permit history, and finance/B&P clauses before offer.",medium-high-after-contract-review,https://www.realestate.com.au/property-house-vic-mill+park-150901048
1-14-mary-street-hamlyn-heights,"1/14 Mary Street, Hamlyn Heights VIC 3215",Hamlyn Heights,765000-795000,Private sale / agent campaign,Hard-filter reject despite good townhouse layout; compare only if own-title townhouses become acceptable,735000-775000,745000-795000,4,"Inside FHBG cap, but price is not attractive enough to justify breaching the freestanding-house rule",3,2,1,253,120-135 internal estimate excluding 23m2 garage,5,8,8,7,8,8,8,42,,,0,REJECTED — townhouse/X-Y address hard filter,"Do not inspect unless the brief changes to allow own-title townhouses. If reconsidered, verify title, owners corporation/shared obligations and live price guide.",AI pre-visit hard-filter assessment with saved photos/floorplan,3,"Buxton says own title, but X/Y townhouse format requires Section 32 confirmation of owners corporation, shared walls/services/insurance, easements and maintenance obligations.",high-for-visuals-high-for-hard-filter,https://www.realestate.com.au/property-townhouse-vic-hamlyn%2Bheights-150667672
1-woodhill-place-mill-park,"1 Woodhill Place, Mill Park VIC 3082",Mill Park,849500,Post-auction asking-price campaign,"Polished low-maintenance 3-bed house, but no study and post-auction asking price reduce the value case",795000-835000,825000-860000,5,"Inside FHBG cap, but only compelling if negotiated back to low-$800s; $849.5k is high for no-study 3-bed utility",3,2,2,355,125-140 internal estimate plus 38.4m2 double garage,4,8,7,8,8,8,7,73,,,835000,WATCH — polished but too expensive unless price softens,"Watch/inspect only if agent signals flexibility. Verify no-study compromise, renovation quality, outdoor usability and Section 32/title.",AI pre-visit with saved photos/floorplan and post-auction price lens,6,"No contract reviewed yet. Need Section 32 for title, easements, garage/extension permits, renovation documentation and older services. Current ask observed at $849,500 after earlier lower ESR evidence.",high-for-visuals-medium-overall,https://www.barryplant.com.au/for-sale/1-woodhill-place-mill-park-vic-3082-202449/
36-littlewood-drive-fyansford,"36 Littlewood Drive, Fyansford VIC 3218",Fyansford,770000-810000,Private/agent campaign,"Newer compact 4-bed Fyansford house; strong low-maintenance daily fit but B&P must focus on drainage/slab/retaining-wall context",785000-820000,790000-840000,6,"Inside FHBG and likely comfortable in low-$800s; do not chase above low-$830s without clean site-aware B&P",4,2,2,280,145-165 internal estimate,8,7,7,8,8,9,7,80,,,830000,WATCH — strong newer fit if price stays disciplined,"Inspect if still available and low-$800s is realistic. Verify living light, fourth-bedroom office utility, title/estate controls, builder documents, drainage and settlement signs.",AI pre-visit refreshed 12 May 2026 from current listing/profile sources; no photos republished due GitHub Pages copyright uncertainty,6,"No contract reviewed. Need Section 32 for covenants/easements/estate controls. Fyansford old-quarry/sloping-estate context means B&P should focus on slab movement, cracks, retaining walls, stormwater and drainage.",medium-high,https://www.domain.com.au/36-littlewood-drive-fyansford-vic-3218-2020684659
14-hardiman-circuit-fyansford,"14 Hardiman Circuit, Fyansford VIC 3218",Fyansford,779000-819000,Private/agent campaign,"Newer compact 4-bed with better land/function balance than the tightest Fyansford blocks; price and light are the checks",795000-830000,805000-850000,6,"Comfortable if bought around low-$800s; mid-$830s-plus needs excellent room feel and clean B&P",4,2,2,350,150-170 internal estimate,8,8,7,8,8,8,7,82,,,835000,WATCH — priority Fyansford inspection candidate,"Inspect ahead of weaker 3-bed options. Confirm natural light, outdoor usability, pantry/storage, title/estate controls and site drainage/retaining-wall condition.",AI pre-visit refreshed 12 May 2026 from current listing/profile sources; no photos republished due GitHub Pages copyright uncertainty,6,"No contract reviewed. Check covenants/easements/estate design controls and building approvals. Fyansford site context: require B&P focus on drainage, slab movement, retaining walls and post-build repairs.",medium-high,https://www.domain.com.au/14-hardiman-circuit-fyansford-vic-3218-2020684237
37-salisbury-circuit-fyansford,"37 Salisbury Circuit, Fyansford VIC 3218",Fyansford,780000-820000,Private/agent campaign / listing mirror,"Likely newer compact 3-bed; must be materially cheaper than 4-bed Fyansford homes to make sense",735000-775000,760000-810000,6,"Inside cap, but value weakens quickly if priced near 4-bed Fyansford alternatives",3,2,2,336,120-140 internal estimate,4,7,7,7,8,8,7,72,,,775000,WATCH / value check only,"Inspect only if price is clearly below Littlewood/Hardiman or if floorplan reveals a real study/second living. Verify recent resale reason and site condition.",AI pre-visit refreshed 12 May 2026 from profile/listing mirrors; no photos republished due GitHub Pages copyright uncertainty,6,"No contract reviewed. Need title/covenants/easements/estate controls and B&P for Fyansford drainage/slab/retaining-wall risks. Recent 2024 sale history requires vendor-story check.",medium,https://realsearch.com.au/house-37-salisbury-circuit-fyansford-vic-3218
21-tetila-avenue-grovedale,"21 Tetila Avenue, Grovedale VIC 3216",Grovedale,650000-690000,Private/agent campaign,"Affordability-led 3-bed/2-bath option; cheaper but weaker on study, suburb premium and likely room generosity",650000-690000,660000-710000,8,"Very comfortable against FHBG cap; only worthwhile if debt reduction is a deliberate priority and condition is move-in ready",3,2,2,336,115-135 internal estimate,4,6,6,6,7,8,6,66,,,690000,WATCH only if price-led fallback,"Inspect only if lower debt is strategically valuable. Verify freestanding title, no OC, light, renovation burden, heating/cooling and true WFH compromise.",AI pre-visit refreshed 12 May 2026 from current listing/profile sources; no photos republished due GitHub Pages copyright uncertainty,6,"No contract reviewed. Verify title/freestanding status, easements, services, building permits and condition. Grovedale value stock needs closer neighbourhood/street and renovation-burden check.",medium,https://www.realestate.com.au/property-house-vic-grovedale-151164616
18-landes-avenue-highton,"18 Landes Avenue, Highton VIC 3216",Highton,840000-880000,Private/agent campaign / listing mirror,"Modern compact Highton 3-bed; good suburb/outlook potential but guide is high for no dedicated study",815000-855000,840000-890000,4,"Inside FHBG but poor value discipline above mid-$800s unless Highton location/outlook is the deliberate premium",3,2,2,347,125-145 internal estimate,4,7,7,8,8,8,8,74,,,850000,WATCH — Highton premium only if floorplan/light are excellent,"Inspect only if comfortable paying for Highton over raw utility. Check WFH compromise, sloping-site drainage/retaining walls, deck/outlook wind and title/easements.",AI pre-visit refreshed 12 May 2026 from listing mirror/context sources; no photos republished due GitHub Pages copyright uncertainty,6,"No contract reviewed. Sloping Highton site: check retaining walls, drainage, driveway gradient, deck/balcony structure, slab movement and permit history.",medium,https://realsearch.com.au/house-18-landes-avenue-highton-vic-3216
158-grantham-drive-highton,"158 Grantham Drive, Highton VIC 3216",Highton,785000-825000,Private/agent campaign with source disagreement,"Functionally strong 4-bed Highton layout with WIP/views, but townhouse classification breaches the freestanding-house hard filter unless title clears it",770000-820000,790000-850000,6,"Potentially affordable for Highton if low-$800s, but only after title proves no OC/shared-obligation problem",4,2,2,340,155-180 internal estimate,8,8,7,9,8,8,8,58,,,820000,REJECT / title-first watch,"Do not inspect until agent provides Section 32/title. Reconsider only if it is genuinely own-title/no-OC/no-shared-maintenance; otherwise reject as townhouse.",AI pre-visit hard-filter assessment 12 May 2026 from current listing/profile sources; no photos republished due GitHub Pages copyright uncertainty,3,"Classified as townhouse by public sources. Need Section 32/title for owners corporation, common property, shared insurance/services/driveway and maintenance obligations. Also check sloping-site retaining/drainage/deck risks.",medium-high-for-hard-filter,https://www.domain.com.au/158-grantham-drive-highton-vic-3216-2020618285
2-54-barrabool-road-highton,"2/54 Barrabool Road, Highton VIC 3216",Highton,599000-699000,Private/agent campaign / listing mirror,"Apartment/unit X-Y address; cheap Highton space but not a substitute for freestanding own-title land",600000-650000,600000-670000,7,"Affordable but structurally outside the search brief; attached/unit discount is the reason it is cheap",3,3,1,0,152 listing-mirror area,4,5,7,5,8,9,5,35,,,0,REJECTED — apartment/unit hard filter,"Do not pursue unless the brief changes to allow apartments/units. If ever reconsidered, require OC fee/rules, title, parking/storage and acoustic/privacy review.",AI pre-visit hard-filter assessment 12 May 2026 from listing/profile sources; no photos republished due GitHub Pages copyright uncertainty,2,"X/Y address and public apartment/unit classification. Likely owners corporation/common property/shared insurance risk. Main-road/unit resale and neighbour/acoustic risks.",high-for-hard-filter,https://realsearch.com.au/apartment-2-54-barrabool-road-highton-vic-3216
