slug,address,land_m2,internal_living_area_m2,internal_area_confidence,garage_or_car_storage_m2,internal_area_as_percent_of_land,bedrooms,master_size,master_band,secondary_bedroom_sizes,secondary_bedroom_band,study_or_retreat_size,study_or_retreat_band,primary_living_size,primary_living_band,secondary_living_size,secondary_living_band,dining_size,dining_band,ensuite_band,main_bathroom_band,kitchen_storage_band,outdoor_space_band,space_takeaway
2a-macadam-street-daylesford,"2A Macadam Street, Daylesford VIC 3460",447,95-115,estimate from floorplan and listing description,0,21-26%,3,approx 3.7 x 3.5 = 13.0m2,mid-large,One true second bedroom plus office/studio,small-to-mid,Office/studio is useful but substitutes for family bedrooms,mid,Living approx 4.3 x 5.2 = 22.4m2,large,,,Kitchen/dining integrated,mid,none,large single bathroom,mid,small cottage garden/verandah,"Lovely cottage scale, but not a family-home fit: essentially 2 bed plus office/studio and only one main bathroom."
18-westwood-drive-mill-park,"18 Westwood Drive, Mill Park VIC 3082",241,150-170,estimate from measured two-level floorplan,32,62-71%,4,4.8 x 3.6 = 17.3m2,large,3.2 x 3.8 = 12.2m2; 3.3 x 3.4 = 11.2m2; downstairs bed/study 2.7 x 2.7 = 7.3m2,mid-large except study,Downstairs bed/study 2.7 x 2.7 = 7.3m2,small-mid,Meals/family 3.3 x 5.3 = 17.5m2,mid-large,Lounge 3.6 x 4.8 = 17.3m2,mid-large,Kitchen/meals integrated,mid,large,mid,mid,very low-maintenance courtyard/balcony,"High built-area density and good bedrooms on compact land, but the townhouse-like title/type issue may override the space positives."
20-northampton-crescent-caroline-springs,"20 Northampton Crescent, Caroline Springs VIC 3023",550,unknown,no reliable live floorplan captured,0,unknown,3,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,No reliable floorplan/photos yet. Treat all space fields as placeholders until a live listing URL or email alert arrives.
11-northbridge-road-highton,"11 Northbridge Road, Highton VIC 3216",356,115,floorplan stated ground floor,35,32% internal living; 42% including garage,3,3.3 x 3.0 = 9.9m2,small-mid,2.9 x 3.0 = 8.7m2; 3.2 x 2.9 = 9.3m2,small-to-mid,No dedicated study; bedroom 3 or lounge would need to become WFH,small compromise,Family 3.6 x 4.3 = 15.5m2,mid,Lounge 3.6 x 4.0 = 14.4m2,mid,Dining 3.6 x 3.3 = 11.9m2,mid,compact,mid,large,small deck plus compact low-maintenance garden,"Very polished, bright and low-maintenance, but spatially weaker than 10 Northbridge because there is no 4th bedroom, retreat or study."
77-prince-of-wales-avenue-mill-park,"77 Prince Of Wales Avenue, Mill Park VIC 3082",560,140-155,estimate from measured floorplan; property profile reports 210m2 building area,0,25-28% internal estimate; 38% if reported building area includes covered carport/areas,3,3.6 x 3.2 = 11.5m2,mid,3.0 x 3.0 = 9.0m2; 3.0 x 3.0 = 9.0m2,mid,Office 2.9 x 3.0 = 8.7m2,mid,Living 4.0 x 6.4 = 25.6m2,large,,,Dining 3.5 x 3.3 = 11.6m2,mid,compact-mid,mid,large with WIP,covered carport/patio plus manageable lawn,"Best 3-bed Mill Park value pattern because it has a real office and WIP, but refreshed $810k asking evidence means the older shell/carport/yard compromise needs sharper price discipline."
1-14-mary-street-hamlyn-heights,"1/14 Mary Street, Hamlyn Heights VIC 3215",253,120-135,estimate from measured floorplan excluding garage,23,47-53% internal estimate; 56-62% including garage,3,4.3 x 4.8 = 20.6m2,extra-large,2.9 x 4.0 = 11.6m2; 3.5 x 3.3 = 11.6m2,mid-large,No dedicated study; bedroom 3 is realistic office,bedroom compromise,Living 6.1 x 5.1 = 31.1m2,large,,,4.0 x 3.5 = 14.0m2,large,mid-large,large,mid-large,north-facing open deck/courtyard,"Strong townhouse layout with large master, good secondary bedrooms and low maintenance deck, but the X/Y townhouse format breaches the hard filter."
1-woodhill-place-mill-park,"1 Woodhill Place, Mill Park VIC 3082",355,125-140,estimate from measured floorplan rooms,38.4,35-39% internal estimate; 46-50% including garage,3,4.0 x 4.0 = 16.0m2,large,3.0 x 3.0 = 9.0m2; 3.0 x 3.1 = 9.3m2,mid,No dedicated study; one secondary bedroom must become office,small compromise,Lounge 3.4 x 5.5 = 18.7m2,mid-large,,,4.6 x 3.2 = 14.7m2,large,mid,mid,large renovated kitchen with pantry/island,compact low-maintenance paved/garden surrounds,"Polished low-maintenance 3-bed with large master and strong kitchen/garage, but no dedicated study and current asking price weaken the fit."
36-littlewood-drive-fyansford,"36 Littlewood Drive, Fyansford VIC 3218",389,125-145,estimate from 3-bed listing profile; floorplan dimensions not captured,32,32-37% internal estimate; 40-46% including garage,3,unknown,likely mid,unknown,likely mid,No dedicated study; bedroom 3 likely office,small compromise,Open-plan living/dining likely,unknown,,,Integrated meals likely,unknown,modern compact,modern mid,stone kitchen noted; pantry depth unknown,compact low-maintenance yard,"Newer compact 3-bed format is pleasant but not ideal: verify that losing one bedroom to WFH does not make the home feel too small."
14-hardiman-circuit-fyansford,"14 Hardiman Circuit, Fyansford VIC 3218",315,145-165,estimate from listing/profile type; floorplan dimensions not captured,32,46-52% internal estimate; 56-63% including garage,4,unknown,likely mid,unknown,likely mid,Fourth bedroom can be office if no dedicated study,bedroom compromise,Open-plan living/dining likely,unknown,,,Integrated meals likely,unknown,modern compact-mid,modern mid,modern kitchen likely; pantry depth unknown,compact low-maintenance yard,"Strong Fyansford utility on paper: 4-bed count on compact land, but inspect for tight living proportions and light."
37-salisbury-circuit-fyansford,"37 Salisbury Circuit, Fyansford VIC 3218",368,145-165,estimate from 4-bed compact profile; floorplan dimensions not captured,18,39-45% internal estimate; 44-50% including garage,4,unknown,mid,unknown,mid,Fourth bedroom can be office if no dedicated study,bedroom compromise,Open-plan living likely,unknown,,,Integrated meals likely,unknown,modern compact,modern mid,modern kitchen likely; storage unknown,compact low-maintenance yard,"Useful 4-bed Fyansford profile, but one-car parking/storage is the functional tradeoff against Hardiman/Littlewood."
21-tetila-avenue-grovedale,"21 Tetila Avenue, Grovedale VIC 3216",349,115-135,estimate from 3-bed listing profile; floorplan dimensions not captured,32,33-39% internal estimate; 42-48% including garage,3,unknown,mid,unknown,small-to-mid,No dedicated study; bedroom 3 likely office,small compromise,Open-plan living likely,unknown,,,Integrated meals likely,unknown,compact,mid,standard kitchen; storage unknown,compact manageable yard,"Affordable 3-bed/2-bath profile, but updated pricing makes it less of a bargain and it still does not solve the study/space preference."
18-landes-avenue-highton,"18 Landes Avenue, Highton VIC 3216",347,125-145,estimate from 3-bed Highton listing profile; floorplan dimensions not captured,32,36-42% internal estimate; 45-51% including garage,3,unknown,mid,unknown,mid,No dedicated study; bedroom 3 likely office,small compromise,Open-plan living likely,unknown,,,Integrated meals likely,unknown,modern compact-mid,modern mid,modern kitchen likely; pantry depth unknown,compact sloping-site outdoor/deck possible,"Highton location/light may be strong, but the 3-bed/no-study profile needs a sharper price or exceptional living feel."
158-grantham-drive-highton,"158 Grantham Drive, Highton VIC 3216",340,155-180,estimate from 4-bed two-level townhouse listing profile,32,46-53% internal estimate; 55-62% including garage,4,downstairs master suite noted,likely large,unknown,likely mid,Fourth bedroom/upstairs living can support WFH,large combined,Main living with view/deck relationship likely,mid-large,Possible second living/flex zone,mid,Integrated dining likely,mid,modern,modern,stone kitchen with island and walk-in pantry noted,deck/balcony/courtyard low-maintenance,"Functionally strong for WFH/storage, but townhouse classification/title risk overrides the space positives under current hard filters."
2-54-barrabool-road-highton,"2/54 Barrabool Road, Highton VIC 3216",0,152,listing mirror stated apartment/unit area,16,not meaningful for unit/apartment,3,unknown,unknown,unknown,unknown,No dedicated study; one bedroom would be office,bedroom compromise,Apartment/unit living area unknown,unknown,,,Dining unknown,unknown,unknown,unknown,unknown,apartment/unit outdoor unknown,"Bathroom count and low maintenance are good on paper, but X-Y apartment/unit format makes the space irrelevant to the freestanding-house brief."
